Feature_Label,PC1,PC2,PC3
2.51 min | 2-Hydroxyadipic acid,-0.01566349619437591,-0.0020395809000006673,0.04679502239270207
2.51 min | Keto-3-deoxy-D-manno-octulosonic acid,0.029256690011995462,-0.03388248548722317,0.002366673682218672
2.52 min | Citric acid,0.023762316681468377,-0.024633301632720102,-0.00706456636315408
2.52 min | Citric acid,0.023762316681468373,-0.024633301632720095,-0.007064566363154025
2.52 min | D-Glucuronic acid,0.03563244980804271,-0.012950362852667107,0.023461731220086966
2.52 min | D-(-)-quinic acid,0.005786886579323961,0.0037958891695589955,0.058311499161725316
2.52 min | Glutaconic acid,0.016385200166588988,-0.016604910660855923,0.02510823077917343
2.52 min | Citric acid,-0.005139374472328796,0.0068027077894698175,0.028119623083034184
2.52 min | Citric acid,-0.005139374472328796,0.0068027077894698175,0.028119623083034187
2.52 min | Tartaric acid,0.026656234442541706,-0.022910714312628436,0.0066320036162057635
2.52 min | Nb-trans-Feruloylserotonin glucoside,-0.008302311260606142,0.003044843830190661,0.031937436053733545
2.53 min | cis-Aconitic acid.mol,-0.0010307796460667675,0.004674615403656211,0.038705291094874195
2.53 min | Galactonic acid,0.03370969893610265,-0.018579823040983094,0.03423371544316032
2.53 min | Ureidopropionic acid,-0.0038805773691045946,-0.0009614483985806179,-0.0001298524527619995
2.54 min | Arabinonic acid,0.054860599753559454,-0.037803332346465636,-0.007041702840096838
"2.54 min | 2,3,4,5,6,7-Hexahydroxyheptanoic acid",-0.001467414323798782,-0.009511419777307894,0.05358134640327695
2.55 min | L-Glutamic acid,0.03845100598412164,-0.0424962498312622,-0.020262677990941266
2.57 min | Ascorbalamic acid,0.02987530211671917,-0.0331643368636518,-0.022450898503905387
2.58 min | L-2-Amino-4-methylenepentanedioic acid,0.034806328241748646,-0.03957170131404389,-0.02658423414947256
"2.59 min | 4',5,6-Trimethylscutellarein 7-glucoside",0.03549042947685654,-0.02805806851263622,-0.012739885001412574
2.71 min | 3-Hydroxy-3-carboxymethyl-adipic acid,0.009623879901793997,-0.0010508130922022357,0.04593779176751448
2.71 min | L-Malic acid.mol,0.03279078651226128,-0.03586841330881066,-0.002291707012190802
2.74 min | Shikimic acid,0.004446439058549626,0.003266311321526123,0.051978919545678334
2.76 min | Caftaric acid,0.02638019722214639,-0.0199962652922815,0.006192664684254678
2.78 min | Nb-trans-Feruloylserotonin glucoside,0.04585668942288266,-0.039449601593056174,0.003008494851802378
2.82 min | l-ascorbic acid,0.0007214543190581724,0.004513901684882943,0.022101004546008118
2.91 min | ISOPALMITIC ACID,0.006217292493126072,-0.020797450391163826,-0.01623634602363541
2.92 min | Stearic acid,0.0008232991794054109,-0.02139488577357239,-0.01881219118425133
2.94 min | Pipecolic acid,0.01731924675134776,-0.021854991257120895,-0.01719585937595029
2.96 min | 3-Hydroxyhippuric acid sulfate,0.008439710255791669,-0.01409981980672309,-0.012812349108849328
2.97 min | 2-Keto-6-aminocaproic acid.mol,0.003812119571106959,0.002027355893423883,0.03659304329508816
3.0 min | N-Acetylglutamic acid,-0.009074604552554781,0.011802308638122363,0.020485229568981658
3.03 min | 2-[[(1R)-2-[Bis(carboxymethyl)amino]cyclohexyl]-[(2S)-2-[bis(carboxymethyl)amino]-3-(4-isothiocyanatophenyl)propyl]amino]acetic acid,0.022024066333900038,-0.006986138978624038,0.008253566295485735
3.03 min | 2-Methylcitric acid,-0.013766759464931569,0.003198589347271955,0.0018826808328211546
3.04 min | Ascorbic acid,0.005009599153988206,0.0045088883769301685,0.019041277154579803
3.05 min | N-Formyl-L-glutamic acid,0.0311921839529648,0.022262641677417757,0.03306621536936234
3.05 min | 4-O-Methylglucuronic acid,-0.00024662687434762935,0.001963213479619654,0.033688615411089175
3.05 min | (Z)-3-(1-Formyl-1-propenyl)pentanedioic acid,-0.013259521364430073,0.0049874673135540774,-0.00041336778292109096
3.07 min | 3-Methyluric acid,-0.0011359079872792863,-0.004765649802382496,-0.009626220592330594
3.08 min | Uric acid,0.039382571775027395,0.025804339258269412,-0.008730883334890723
3.08 min | DEHYDROASCORBIC ACID,0.022454101106308307,-0.010374528188767024,0.010520319081175332
3.13 min | Lycoperdic acid,-0.020014927062566704,-0.0039139242022352885,-0.013299709970078512
3.13 min | 2-Methylcitric acid,-0.004009397980255003,0.0027735836019522515,0.03678828259760603
3.19 min | 3-Oxalomalic acid,-0.026437169463193546,0.004433228475524086,-0.017066234708720263
