Feature_Label,PC1,PC2,PC3
2.51 min | 2-Hydroxyadipic acid,-0.019131080687747288,-0.009909615810649933,0.031077302455294543
2.51 min | Keto-3-deoxy-D-manno-octulosonic acid,0.03384234039335393,-0.02668114048129919,-0.0017775209365480866
2.52 min | Citric acid,0.02702259154567384,-0.01776270848724656,-0.0020324597324417873
2.52 min | Citric acid,0.02702259154567385,-0.017762708487246568,-0.002032459732441609
2.52 min | D-Glucuronic acid,0.03561124817113729,-0.0074577564399626265,0.033777393296508126
2.52 min | D-(-)-quinic acid,0.04811323911881989,-0.022427908455756353,-0.005377817515895546
2.52 min | Glutaconic acid,0.028774607318689454,-0.02728287870448735,0.0045825935804587065
2.52 min | Citric acid,-0.023327234602990205,-0.009581889688196185,0.03756922430323493
2.52 min | Citric acid,-0.023327234602990205,-0.009581889688196185,0.03756922430323493
2.52 min | Tartaric acid,0.026004618599091988,-0.01516829400944198,0.04637558118830606
2.52 min | Nb-trans-Feruloylserotonin glucoside,-0.00958419278615877,-0.00030104302315553627,0.001735634223799505
2.53 min | cis-Aconitic acid.mol,-0.004942725428906195,-0.0070656449070821085,0.013782778346629138
2.53 min | Galactonic acid,0.04318187191924085,-0.01608777030209808,-0.007534199298687708
2.53 min | Ureidopropionic acid,-0.004947942993460159,-0.0011892049776221598,0.012722547421083365
2.54 min | Arabinonic acid,0.05711820105119218,-0.021999454065022534,-0.012078449204584127
"2.54 min | 2,3,4,5,6,7-Hexahydroxyheptanoic acid",-0.0011048473236652072,-0.01893348795763093,0.030046830974026602
2.55 min | L-Glutamic acid,0.044063607398155985,-0.029763215655522528,-0.01068762102457115
2.57 min | Ascorbalamic acid,0.034185368098170174,-0.021473880889827993,-0.01656919274007548
2.58 min | L-2-Amino-4-methylenepentanedioic acid,0.04095619016126048,-0.026820896136584157,-0.015132755934174439
"2.59 min | 4',5,6-Trimethylscutellarein 7-glucoside",0.0373300346852367,-0.0156729458811484,-0.012011387727287165
2.71 min | 3-Hydroxy-3-carboxymethyl-adipic acid,0.025820284478166904,-0.0104388338353281,-0.014490638327335804
2.71 min | L-Malic acid.mol,0.036938804890172115,-0.025182222295171038,-0.005329815953528919
2.74 min | Shikimic acid,0.04773020575070603,-0.024971072459405642,-0.0037818474006162837
2.76 min | Caftaric acid,0.03283066365080268,-0.015756302288276958,-0.013417448907710903
2.78 min | Nb-trans-Feruloylserotonin glucoside,0.051972553946758974,-0.02802875952721663,-0.0053274160149516464
2.82 min | l-ascorbic acid,0.013924981274364806,-0.0008560307071704407,-0.0011169897056970554
2.91 min | ISOPALMITIC ACID,0.008282903016869955,-0.017461653169227383,0.01692994467268351
2.92 min | Stearic acid,0.002753307318703408,-0.019000003234684083,0.02174626198495652
2.94 min | Pipecolic acid,0.019587319017473993,-0.014662051848014569,-0.008273305374283385
2.96 min | 3-Hydroxyhippuric acid sulfate,0.00969750802697253,-0.00988392779729421,-0.0032315055037719564
2.97 min | 2-Keto-6-aminocaproic acid.mol,0.022294852577906848,-0.02285237087319952,0.0020673418619979785
3.0 min | N-Acetylglutamic acid,-0.01099191711903246,0.006852512664941627,0.0021889877062131954
3.03 min | 2-[[(1R)-2-[Bis(carboxymethyl)amino]cyclohexyl]-[(2S)-2-[bis(carboxymethyl)amino]-3-(4-isothiocyanatophenyl)propyl]amino]acetic acid,0.02070660612229691,-0.0008547836065509812,-0.004137674565346186
3.03 min | 2-Methylcitric acid,-0.012515772555575249,1.4996688742986407e-06,-0.0017463671158940244
3.04 min | Ascorbic acid,0.0008300898258788547,0.0026812775899419127,0.07503678378783925
3.05 min | N-Formyl-L-glutamic acid,0.04416025392980372,0.044696834139536346,-0.007307354787308759
3.05 min | 4-O-Methylglucuronic acid,-0.004526952011386607,-0.0036718675113231935,0.08097651541615423
3.05 min | (Z)-3-(1-Formyl-1-propenyl)pentanedioic acid,-0.012175526424041768,0.0023011898667739815,-0.004529948787727035
3.07 min | 3-Methyluric acid,-0.0006126022022662367,-0.0028239171059589348,-0.007514140898749309
3.08 min | Uric acid,0.03051333095602107,0.03306179932033237,-0.003661058393194599
3.08 min | DEHYDROASCORBIC ACID,0.029233258179302442,-0.011428535272465786,0.0036306758033155997
3.13 min | Lycoperdic acid,-0.017974114740740798,-0.006526756144525907,-0.012829947855491934
3.13 min | 2-Methylcitric acid,-0.009424793505150653,-0.01446791812034785,0.02478706230635563
3.19 min | 3-Oxalomalic acid,-0.025706011216220036,-0.0007619105541812219,-0.01745677595835887
3.2 min | Daucic acid,-0.032045907836834406,-0.004779563177755876,-0.019001166172101736
3.23 min | Aminoadipic acid,0.006519295726662529,-0.004289508815879908,0.019611787856916106
3.24 min | Formiminoglutamic acid,-0.017748849563940464,-0.0019598486828486784,-0.016481612938951687
"3.28 min | 2,3-dihydroxy-Valeric acid.mol",0.031831840374061025,-0.017893728418672854,0.013931800737907521
3.29 min | Apigenin 6-C-arabinosyl-8-C-glucoside,0.04898206932868391,-0.025948538938402602,-0.00116241423541121
3.34 min | CITRIC ACID,0.05621568941505441,-0.027421483708315778,-0.011954901709875865
3.34 min | 3-Methyluric acid,0.025893310045054695,-0.011739755469197956,-0.017684298163358873
3.34 min | 4'-Methylepicatechin 3'-sulfate,0.0512670491202157,-0.02376733006590611,-0.009790454011738196
3.34 min | 2-Hydroxy-2-methyl-butanedioic acid.mol,0.04883966162679104,-0.023738991783563465,-0.005392840149593346
3.35 min | Glutaconic acid,0.054331510038028656,-0.02595255668013228,-0.011823345491937712
3.36 min | Pyrroline hydroxycarboxylic acid,0.016960324839796665,-0.022911921354537266,-0.008405996224967714
3.45 min | Gallocatechin-(4alpha->8)-gallocatechin-(4alpha->8)-gallocatechin,-0.006160935969285925,0.0008164017290983571,0.05969170654582938
3.52 min | Keto-3-deoxy-D-manno-octulosonic acid,-0.01700109355691719,-0.019589843172009395,-0.006829579438943312
3.53 min | 2-Methylcitric acid,0.01290581032343226,-0.033079915480804745,-0.01028753892142718
3.6 min | Glutamic acid glutamate,0.024863233330872165,-0.014883437983015174,-0.02182622423888461
