,PC1,PC2,PC3,Group
sapbud,23.21931090056749,-19.894837617401713,-3.9392817550515957,sapbud
sapbud.1,23.84759250889735,-20.080675955583523,-3.984835694800707,sapbud
sapbud.2,20.731350796528112,-21.158443829477704,-2.166011190239599,sapbud
sapbud.3,20.46419046795946,-20.569147780065258,-2.1246841684301656,sapbud
infectedTHAI,-0.32338896452989896,-4.7025055294412335,-4.671769996414506,infectedTHAI
infectedTHAI.1,-1.1307710063813563,-3.9416037601115046,-3.809774184234272,infectedTHAI
infectedTHAI.2,-3.8142944227726963,-3.684427608595416,-6.818052533025149,infectedTHAI
infectedTHAI.3,-4.247423456308114,-3.449635452893833,-6.472980583043721,infectedTHAI
UNinfectedTHAI,-0.4007575838253163,1.7549577889802446,4.5193706322778375,UNinfectedTHAI
UNinfectedTHAI.1,-0.13789132516565614,1.5955496485561247,5.05814812236962,UNinfectedTHAI
UNinfectedTHAI.2,-0.9453201713161379,-2.9595504103740504,-3.8501881179535777,UNinfectedTHAI
UNinfectedTHAI.3,-1.4075064510185467,-3.0574637927396178,-3.8449035059621406,UNinfectedTHAI
Raffbudlag,29.001295400340194,-21.75869074516316,-3.7250140188858096,Raffbudlag
Raffbudlag.1,29.191958178089166,-21.585352432502315,-3.112454619478665,Raffbudlag
Raffbudlag.2,17.23221697289497,-11.043583252459348,-3.0056534152201753,Raffbudlag
Raffbudlag.3,18.724395507608463,-12.54863002009988,-3.595597895284081,Raffbudlag
infectedCAM,-10.424248565990068,-0.8178822159953409,-5.522890532572493,infectedCAM
infectedCAM.1,-10.598532181377307,-0.8687442433126172,-5.322599340624277,infectedCAM
infectedCAM.2,-9.61299148160101,-0.3050922036923854,-4.471772903325272,infectedCAM
infectedCAM.3,-9.75775868315347,-0.04421856969508877,-4.257646782346349,infectedCAM
UNinfectedCAM,-6.622707298385168,-0.6281014520756386,-4.4070051580639396,UNinfectedCAM
UNinfectedCAM.1,-6.687499757464749,-0.6924920938666168,-4.54056046013589,UNinfectedCAM
UNinfectedCAM.2,-2.934573864318938,-0.6034877563322602,-1.5158421973200726,UNinfectedCAM
UNinfectedCAM.3,-3.4121916471615763,-0.6144960685971493,-1.6869210457869261,UNinfectedCAM
NonhostCAM,-2.1604307529591327,0.8955153913420225,12.555790460470297,NonhostCAM
NonhostCAM.1,-2.122463758102616,0.8261738760142716,13.32486010897618,NonhostCAM
NonhostCAM.2,-3.549744627965116,1.651619901666296,18.492782282992696,NonhostCAM
NonhostCAM.3,-3.2636188566349698,1.9661235094989413,18.404709480607263,NonhostCAM
raffseed,31.525220626397772,58.46273131713707,-9.35312007956959,raffseed
raffseed.1,32.61177454671343,60.69078912499531,-9.032628433787497,raffseed
raffseed.2,22.35905370543644,42.90112354721676,-7.880537401207424,raffseed
raffseed.3,23.38027189339144,45.407845493170306,-7.906114455583487,raffseed
Raffbudspec,1.8472223451746752,-3.1514769109215623,-5.8451069635151125,Raffbudspec
Raffbudspec.1,1.8545743872427687,-3.082561003736094,-5.768525133551246,Raffbudspec
Raffbudspec.2,13.374541251993788,-10.205821838237325,-5.667573945301379,Raffbudspec
Raffbudspec.3,14.071380859784218,-10.265001940940536,-5.425811464442554,Raffbudspec
Raffbudspec.4,21.556047879171633,-12.951644264195135,-3.035773227091509,Raffbudspec
Raffbudspec.5,21.512572132796492,-13.178589275625914,-2.9354141918594485,Raffbudspec
Raffbudspec.6,18.290908358377138,-12.276442779500421,-2.890076388440804,Raffbudspec
Raffbudspec.7,18.305001139252063,-12.350829965140024,-3.072434728113404,Raffbudspec
Raffbudspec.8,17.49409066753404,-7.913427937155757,-3.6244244171881688,Raffbudspec
Raffbudspec.9,17.67131109359119,-8.049849410961,-3.2640265123747962,Raffbudspec
Raffbudspec.10,6.067454993302047,-3.268609711298209,-3.341111345374131,Raffbudspec
Raffbudspec.11,6.634996499410794,-3.4820802350674263,-3.2061506072045787,Raffbudspec
Raffbudspec.12,-0.006810730032658228,-2.712469010362042,-2.9691727194657282,Raffbudspec
Raffbudspec.13,-0.11927034999363156,-2.6307909546765025,-2.88893788569055,Raffbudspec
Raffbudspec.14,19.824908615486162,-11.460720971693071,-2.6330555653791845,Raffbudspec
Raffbudspec.15,20.056254261574633,-11.375941013071788,-2.632122313999914,Raffbudspec
infectedILO,0.8999140772047969,-2.4731053249573303,-6.009236149750521,infectedILO
infectedILO.1,0.7361482268509115,-1.4294923095595609,-5.1040315975229,infectedILO
infectedILO.2,-7.46200770879399,-1.2868834913848664,-6.329802493688796,infectedILO
infectedILO.3,-8.064862356352045,-1.310498312251266,-6.357568960443068,infectedILO
infectedILO.4,-6.57601324799103,0.30008332445936375,-4.283804909241041,infectedILO
infectedILO.5,-7.055395089890024,0.3694920063833968,-4.473937643735991,infectedILO
infectedILO.6,-0.1156770100713573,-0.004537229040390315,-3.5874545051470217,infectedILO
infectedILO.7,-0.14010777345899306,0.031295766606569096,-3.5249169229843877,infectedILO
infectedILO.8,-1.336082822128706,0.6295723440367587,-4.054855818750537,infectedILO
infectedILO.9,-0.9338547220936292,0.7369333598603034,-3.9854274993342234,infectedILO
infectedILO.10,-12.402803264288341,0.8003913523071824,-5.83311308044469,infectedILO
infectedILO.11,-12.54789211636312,0.7412975044587486,-5.828864075938709,infectedILO
infectedILO.12,-2.100036279143856,0.9462360100500911,-4.035017471815424,infectedILO
infectedILO.13,-1.6659347771343,0.9284976480702549,-4.1764867837041635,infectedILO
infectedILO.14,-9.623455616883042,0.7555971018009738,-4.932758828526773,infectedILO
infectedILO.15,-9.731578792435,0.6347673359431524,-4.762343144540157,infectedILO
infectedILO.16,-0.5708784113180018,0.7795067152078146,-3.5059662473523456,infectedILO
infectedILO.17,-0.9001531998676843,1.3267927399452284,-3.19304335339238,infectedILO
UNinfectedILO,-8.982186043340818,-1.1938361939541546,-4.6773926191272635,UNinfectedILO
UNinfectedILO.1,-8.734944460652121,-1.0820111784767668,-4.703146387794061,UNinfectedILO
UNinfectedILO.2,-7.534659959077588,-0.5047198719699234,-3.0189879480302877,UNinfectedILO
UNinfectedILO.3,-7.818049676018202,-0.4764821372619113,-2.6792233564127645,UNinfectedILO
UNinfectedILO.4,-11.473415440265688,-0.7765620190575209,-5.771968310150413,UNinfectedILO
UNinfectedILO.5,-11.16904344574167,-1.024556078689051,-6.059345938868834,UNinfectedILO
UNinfectedILO.6,-22.947052964289085,-0.24384787620310186,-7.691606269407739,UNinfectedILO
UNinfectedILO.7,-23.164932187660476,-0.7196912202188535,-8.011237682748678,UNinfectedILO
UNinfectedILO.8,0.03084264494381252,-0.2867882462227618,-3.96212986631429,UNinfectedILO
UNinfectedILO.9,-0.3804403880816736,0.12296774272384466,-4.005430191763317,UNinfectedILO
UNinfectedILO.10,-2.2134525962933775,0.8034953997213222,-4.2621654025674856,UNinfectedILO
UNinfectedILO.11,-2.6582819633350896,0.8613350284673156,-4.185880997062126,UNinfectedILO
UNinfectedILO.12,-16.07515811970449,0.7411203925167725,-5.313334786822556,UNinfectedILO
UNinfectedILO.13,-15.578754470531512,0.28042981538223843,-5.620136098398688,UNinfectedILO
UNinfectedILO.14,-2.9587645482361102,2.4883387209506873,-3.3936062934635074,UNinfectedILO
UNinfectedILO.15,-3.0819028728742484,2.5103594085500816,-3.401463402066024,UNinfectedILO
UNinfectedILO.16,-12.272850751561974,1.7425614623249477,-5.970258018571597,UNinfectedILO
