,PC1,PC2,PC3,Group
sapbud,29.1931755272243,-15.330899478603769,4.219925644475106,BUD
sapbud.1,29.51125271171574,-15.410977783870361,4.381089381850286,BUD
sapbud.2,29.09083871116466,-17.800903644056053,-0.09534932903360942,BUD
sapbud.3,28.283158152974494,-17.055753960665108,-0.4031290219852667,BUD
infectedTHAI,-0.7722936940125045,-4.258337712290472,6.930891768864924,INFECTED
infectedTHAI.1,-1.7859003387629107,-3.8299514511617847,7.132053414463464,INFECTED
infectedTHAI.2,-3.3320842971762543,-3.694567733149783,-0.0843495502209343,INFECTED
infectedTHAI.3,-3.526048662526199,-3.611414756269075,-0.35262809865025657,INFECTED
UNinfectedTHAI,-2.528773239774374,2.085058252697216,11.405625591711578,UNINFECTED
UNinfectedTHAI.1,-2.3450214380204555,1.9116411456037259,12.364960895100904,UNINFECTED
UNinfectedTHAI.2,-1.5901138290927948,-2.660886673691372,4.94635973181634,UNINFECTED
UNinfectedTHAI.3,-1.9906674235453319,-2.5645596241186657,5.063390569986606,UNINFECTED
Raffbudlag,33.19630674571408,-13.570620748681584,-3.440079014193981,BUD
Raffbudlag.1,33.08657157704264,-13.721081041749454,-2.049212985119286,BUD
Raffbudlag.2,19.32048589319846,-6.008069380441323,-2.0048772447138186,BUD
Raffbudlag.3,20.6065576527311,-6.9993779146253035,-2.080926838296729,BUD
infectedCAM,-9.888193144985678,-2.4529365781090737,-3.6643832345905376,INFECTED
infectedCAM.1,-9.989814799277244,-2.721880966616396,-4.1029078054292585,INFECTED
infectedCAM.2,-9.591693189771819,-1.9060197263570646,-2.9034528698469146,INFECTED
infectedCAM.3,-9.81807161830231,-1.655750183328579,-2.91158853548274,INFECTED
UNinfectedCAM,-6.75248443032603,-1.7385782404037875,0.5229414152223544,UNINFECTED
UNinfectedCAM.1,-6.492629114873335,-1.739511630617398,0.17380727236052704,UNINFECTED
UNinfectedCAM.2,-4.0859064305721615,-1.4498610753774592,2.5921152337396034,UNINFECTED
UNinfectedCAM.3,-4.354280969226161,-1.3810851887500608,2.558626501542357,UNINFECTED
NonhostCAM,-5.9823117279633875,-0.26558295703782153,39.52514205831117,nonhostTET
NonhostCAM.1,-6.1167124310506855,-0.6010411051567307,40.663977059447014,nonhostTET
NonhostCAM.2,-8.98761293391157,-1.5732949538882617,55.003310675647484,nonhostTET
